Document No_,Line No_,Sell-to Customer No_,No_,Location Code,Posting Date,Shipment Date,Description_x,Unit of Measure,Quantity,Unit Price,Unit Cost (LCY),Amount,Amount Including VAT,Item Category Code_x,Tipo,Expected Receipt Date,Description_y,Base Unit of Measure,Item Category Code_y,Cantidad en Inventario,Month,Year,Day
103001,10000,20000.0,1928-S,PRINCIPAL,2022-01-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,165.6,200.38,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,1,2022,18
103002,10000,10000.0,1960-S,PRINCIPAL,2022-01-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,1,2022,19
103003,10000,30000.0,1988-S,PRINCIPAL,2022-01-20,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,193.7,193.7,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,1,2022,20
103004,10000,50000.0,1968-S,PRINCIPAL,2022-01-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,382.0,462.22,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,1,2022,21
103005,10000,40000.0,1960-S,PRINCIPAL,2022-01-22,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,1,2022,22
103006,10000,20000.0,1900-S,PRINCIPAL,2022-01-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,1,2022,23
103006,20000,20000.0,1964-S,PRINCIPAL,2022-01-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,5.0,193.7,151.1,968.5,1171.88,SILLA,Venta,2022-01-01,"Silla inv. TOKIO, azul",UDS,SILLA,4.0,1,2022,23
103006,30000,20000.0,1980-S,PRINCIPAL,2022-01-23,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,3.0,191.0,148.9,573.0,693.33,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,1,2022,23
103007,10000,10000.0,1896-S,PRINCIPAL,2022-01-23,2023-04-16,Escritorio ATENAS,Unidad,5.0,1005.8,784.6,5029.0,6085.09,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,1,2022,23
103007,20000,10000.0,1972-S,PRINCIPAL,2022-01-23,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,2.0,191.0,148.9,382.0,462.22,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,1,2022,23
103007,30000,10000.0,1996-S,PRINCIPAL,2022-01-23,2023-04-16,"Pizarra ATLANTA, base",Unidad,4.0,1404.3,1095.3,5617.2,6796.81,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,1,2022,23
103008,10000,50000.0,1906-S,PRINCIPAL,2022-01-25,2023-04-16,Pedestal móvil ATENAS,Unidad,6.0,435.8,339.9,2614.8,3163.91,ESCRITORIO,Venta,2022-01-01,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0,1,2022,25
103009,10000,30000.0,1928-S,PRINCIPAL,2022-01-26,2023-04-16,Lámpara giratoria roja,Piece,7.0,55.2,43.1,386.4,386.4,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,1,2022,26
103010,10000,40000.0,1908-S,PRINCIPAL,2022-01-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,5.0,191.0,148.9,955.0,955.0,SILLA,Venta,2022-01-01,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0,1,2022,26
103010,20000,40000.0,1920-S,PRINCIPAL,2022-01-26,2023-04-16,Mesa de conferencia AMBERES,stück,3.0,651.1,508.0,1953.3,1953.3,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,1,2022,26
103010,30000,40000.0,1968-S,PRINCIPAL,2022-01-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,4.0,191.0,148.9,764.0,764.0,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,1,2022,26
103010,40000,40000.0,1980-S,PRINCIPAL,2022-01-26,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,191.0,191.0,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,1,2022,26
103011,10000,20000.0,1900-S,PRINCIPAL,2022-01-28,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,1,2022,28
103012,10000,30000.0,1896-S,PRINCIPAL,2022-01-29,2023-04-16,ATHENS Desk,Piece,4.0,1005.8,784.6,4023.2,4023.2,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,1,2022,29
103012,20000,30000.0,1936-S,PRINCIPAL,2022-01-29,2023-04-16,"BERLIN Guest Chair, yellow",Piece,8.0,193.7,151.1,1549.6,1549.6,SILLA,Venta,2022-01-01,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0,1,2022,29
103012,30000,30000.0,1972-S,PRINCIPAL,2022-01-29,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,5.0,191.0,148.9,955.0,955.0,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,1,2022,29
103012,40000,30000.0,1996-S,PRINCIPAL,2022-01-29,2023-04-16,"ATLANTA Whiteboard, base",Piece,3.0,1404.3,1095.3,4212.9,4212.9,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,1,2022,29
103013,10000,50000.0,1920-S,PRINCIPAL,2022-01-31,2023-04-16,Mesa de conferencia AMBERES,Unidad,2.0,651.1,508.0,1302.2,1575.66,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,1,2022,31
103013,20000,50000.0,1988-S,PRINCIPAL,2022-01-31,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,1,2022,31
103014,10000,30000.0,1960-S,PRINCIPAL,2022-02-01,2023-04-16,"ROME Guest Chair, green",Piece,1.0,193.7,151.1,193.7,193.7,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,2,2022,1
103014,20000,30000.0,2000-S,PRINCIPAL,2022-02-01,2023-04-16,"SYDNEY Swivel Chair, green",Piece,5.0,191.0,148.9,955.0,955.0,SILLA,Venta,2022-01-01,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0,2,2022,1
103015,10000,20000.0,1928-S,PRINCIPAL,2022-02-17,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,165.6,200.38,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,2,2022,17
103016,10000,10000.0,1960-S,PRINCIPAL,2022-02-17,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,2,2022,17
103017,10000,30000.0,1988-S,PRINCIPAL,2022-02-19,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,193.7,193.7,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,2,2022,19
103018,10000,40000.0,1960-S,PRINCIPAL,2022-02-20,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,2,2022,20
103019,10000,20000.0,1900-S,PRINCIPAL,2022-02-21,2023-04-16,"Silla inv. PARÍS, negra",Unidad,5.0,193.7,151.1,968.5,1171.89,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,2,2022,21
103019,20000,20000.0,1964-S,PRINCIPAL,2022-02-21,2023-04-16,"Silla inv. TOKIO, azul",Unidad,5.0,193.7,151.1,968.5,1171.88,SILLA,Venta,2022-01-01,"Silla inv. TOKIO, azul",UDS,SILLA,4.0,2,2022,21
103019,30000,20000.0,1980-S,PRINCIPAL,2022-02-21,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,3.0,191.0,148.9,573.0,693.33,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,2,2022,21
103020,10000,10000.0,1896-S,PRINCIPAL,2022-02-21,2023-04-16,Escritorio ATENAS,Unidad,7.0,1005.8,784.6,7040.6,8519.13,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,2,2022,21
103020,20000,10000.0,1972-S,PRINCIPAL,2022-02-21,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,2.0,191.0,148.9,382.0,462.22,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,2,2022,21
103020,30000,10000.0,1996-S,PRINCIPAL,2022-02-21,2023-04-16,"Pizarra ATLANTA, base",Unidad,4.0,1404.3,1095.3,5617.2,6796.81,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,2,2022,21
103021,10000,50000.0,1906-S,PRINCIPAL,2022-02-22,2023-04-16,Pedestal móvil ATENAS,Unidad,8.0,435.8,339.9,3486.4,4218.54,ESCRITORIO,Venta,2022-01-01,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0,2,2022,22
103021,20000,50000.0,1968-S,PRINCIPAL,2022-02-22,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,382.0,462.22,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,2,2022,22
103022,10000,40000.0,1908-S,PRINCIPAL,2022-02-24,2023-04-16,"Silla giratoria LONDRES, azul",stück,5.0,191.0,148.9,955.0,955.0,SILLA,Venta,2022-01-01,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0,2,2022,24
103022,20000,40000.0,1920-S,PRINCIPAL,2022-02-24,2023-04-16,Mesa de conferencia AMBERES,stück,2.0,651.1,508.0,1302.2,1302.2,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,2,2022,24
103022,30000,40000.0,1968-S,PRINCIPAL,2022-02-24,2023-04-16,"Silla giratoria MÉXICO, negra",stück,4.0,191.0,148.9,764.0,764.0,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,2,2022,24
103022,40000,40000.0,1980-S,PRINCIPAL,2022-02-24,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,191.0,191.0,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,2,2022,24
103023,10000,20000.0,1900-S,PRINCIPAL,2022-02-25,2023-04-16,"Silla inv. PARÍS, negra",Unidad,5.0,193.7,151.1,968.5,1171.89,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,2,2022,25
103024,10000,30000.0,1896-S,PRINCIPAL,2022-02-25,2023-04-16,ATHENS Desk,Piece,6.0,1005.8,784.6,6034.8,6034.8,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,2,2022,25
103024,20000,30000.0,1928-S,PRINCIPAL,2022-02-25,2023-04-16,Lámpara giratoria roja,Piece,8.0,55.2,43.1,441.6,441.6,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,2,2022,25
103024,30000,30000.0,1936-S,PRINCIPAL,2022-02-25,2023-04-16,"BERLIN Guest Chair, yellow",Piece,9.0,193.7,151.1,1743.3,1743.3,SILLA,Venta,2022-01-01,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0,2,2022,25
103024,40000,30000.0,1996-S,PRINCIPAL,2022-02-25,2023-04-16,"ATLANTA Whiteboard, base",Piece,2.0,1404.3,1095.3,2808.6,2808.6,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,2,2022,25
103025,10000,30000.0,1960-S,PRINCIPAL,2022-02-28,2023-04-16,"ROME Guest Chair, green",Piece,1.0,193.7,151.1,193.7,193.7,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,2,2022,28
103025,20000,30000.0,1972-S,PRINCIPAL,2022-02-28,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,5.0,191.0,148.9,955.0,955.0,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,2,2022,28
103025,30000,30000.0,2000-S,PRINCIPAL,2022-02-28,2023-04-16,"SYDNEY Swivel Chair, green",Piece,5.0,191.0,148.9,955.0,955.0,SILLA,Venta,2022-01-01,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0,2,2022,28
103026,10000,50000.0,1920-S,PRINCIPAL,2022-02-28,2023-04-16,Mesa de conferencia AMBERES,Unidad,2.0,651.1,508.0,1302.2,1575.66,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,2,2022,28
103026,20000,50000.0,1988-S,PRINCIPAL,2022-02-28,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,2,2022,28
103027,10000,20000.0,1928-S,PRINCIPAL,2022-03-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,165.6,200.38,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,3,2022,18
103028,10000,10000.0,1960-S,PRINCIPAL,2022-03-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,5.0,193.7,151.1,968.5,1171.89,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,3,2022,19
103029,10000,30000.0,1988-S,PRINCIPAL,2022-03-20,2023-04-16,"SEOUL Guest Chair, red",Piece,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,3,2022,20
103030,10000,50000.0,1968-S,PRINCIPAL,2022-03-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,382.0,462.22,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,3,2022,21
103031,10000,40000.0,1960-S,PRINCIPAL,2022-03-22,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,3,2022,22
103032,10000,20000.0,1900-S,PRINCIPAL,2022-03-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,5.0,193.7,151.1,968.5,1171.89,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,3,2022,23
103032,20000,20000.0,1964-S,PRINCIPAL,2022-03-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,6.0,193.7,151.1,1162.2,1406.26,SILLA,Venta,2022-01-01,"Silla inv. TOKIO, azul",UDS,SILLA,4.0,3,2022,23
103032,30000,20000.0,1980-S,PRINCIPAL,2022-03-23,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,5.0,191.0,148.9,955.0,1155.55,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,3,2022,23
103033,10000,10000.0,1896-S,PRINCIPAL,2022-03-23,2023-04-16,Escritorio ATENAS,Unidad,8.0,1005.8,784.6,8046.4,9736.14,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,3,2022,23
103033,20000,10000.0,1972-S,PRINCIPAL,2022-03-23,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,3.0,191.0,148.9,573.0,693.33,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,3,2022,23
103033,30000,10000.0,1996-S,PRINCIPAL,2022-03-23,2023-04-16,"Pizarra ATLANTA, base",Unidad,6.0,1404.3,1095.3,8425.8,10195.22,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,3,2022,23
103034,10000,50000.0,1906-S,PRINCIPAL,2022-03-25,2023-04-16,Pedestal móvil ATENAS,Unidad,9.0,435.8,339.9,3922.2,4745.86,ESCRITORIO,Venta,2022-01-01,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0,3,2022,25
103035,10000,30000.0,1928-S,PRINCIPAL,2022-03-26,2023-04-16,Lámpara giratoria roja,Piece,10.0,55.2,43.1,552.0,552.0,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,3,2022,26
103036,10000,40000.0,1908-S,PRINCIPAL,2022-03-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,6.0,191.0,148.9,1146.0,1146.0,SILLA,Venta,2022-01-01,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0,3,2022,26
103036,20000,40000.0,1920-S,PRINCIPAL,2022-03-26,2023-04-16,Mesa de conferencia AMBERES,stück,4.0,651.1,508.0,2604.4,2604.4,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,3,2022,26
103036,30000,40000.0,1968-S,PRINCIPAL,2022-03-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,6.0,191.0,148.9,1146.0,1146.0,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,3,2022,26
103036,40000,40000.0,1980-S,PRINCIPAL,2022-03-26,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,191.0,191.0,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,3,2022,26
103037,10000,20000.0,1900-S,PRINCIPAL,2022-03-28,2023-04-16,"Silla inv. PARÍS, negra",Unidad,6.0,193.7,151.1,1162.2,1406.26,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,3,2022,28
103038,10000,30000.0,1896-S,PRINCIPAL,2022-03-29,2023-04-16,ATHENS Desk,Piece,7.0,1005.8,784.6,7040.6,7040.6,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,3,2022,29
103038,20000,30000.0,1936-S,PRINCIPAL,2022-03-29,2023-04-16,"BERLIN Guest Chair, yellow",Piece,10.0,193.7,151.1,1937.0,1937.0,SILLA,Venta,2022-01-01,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0,3,2022,29
103038,30000,30000.0,1972-S,PRINCIPAL,2022-03-29,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,6.0,191.0,148.9,1146.0,1146.0,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,3,2022,29
103038,40000,30000.0,1996-S,PRINCIPAL,2022-03-29,2023-04-16,"ATLANTA Whiteboard, base",Piece,4.0,1404.3,1095.3,5617.2,5617.2,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,3,2022,29
103039,10000,50000.0,1920-S,PRINCIPAL,2022-03-31,2023-04-16,Mesa de conferencia AMBERES,Unidad,3.0,651.1,508.0,1953.3,2363.49,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,3,2022,31
103039,20000,50000.0,1988-S,PRINCIPAL,2022-03-31,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,3,2022,31
103040,10000,30000.0,1960-S,PRINCIPAL,2022-04-01,2023-04-16,"ROME Guest Chair, green",Piece,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,4,2022,1
103040,20000,30000.0,2000-S,PRINCIPAL,2022-04-01,2023-04-16,"SYDNEY Swivel Chair, green",Piece,7.0,191.0,148.9,1337.0,1337.0,SILLA,Venta,2022-01-01,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0,4,2022,1
103041,10000,20000.0,1928-S,PRINCIPAL,2022-04-17,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,165.6,200.38,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,4,2022,17
