Document No_,Line No_,Sell-to Customer No_,No_,Location Code,Posting Date,Shipment Date,Description_x,Unit of Measure,Quantity,Unit Price,Unit Cost (LCY),Amount,Amount Including VAT,Item Category Code_x,Tipo,Expected Receipt Date,Description_y,Base Unit of Measure,Item Category Code_y,Cantidad en Inventario,Month,Year,Day
103042,10000,30000.0,1988-S,PRINCIPAL,2022-04-19,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,193.7,193.7,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,4,2022,19
103043,10000,50000.0,1968-S,PRINCIPAL,2022-04-20,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,382.0,462.22,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,4,2022,20
103044,10000,10000.0,1896-S,PRINCIPAL,2022-04-21,2023-04-16,Escritorio ATENAS,Unidad,10.0,1005.8,784.6,10058.0,12170.18,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,4,2022,21
103044,20000,10000.0,1960-S,PRINCIPAL,2022-04-21,2023-04-16,"Silla inv. ROMA, verde",Unidad,5.0,193.7,151.1,968.5,1171.88,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,4,2022,21
103044,30000,10000.0,1972-S,PRINCIPAL,2022-04-21,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,3.0,191.0,148.9,573.0,693.33,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,4,2022,21
103044,40000,10000.0,1996-S,PRINCIPAL,2022-04-21,2023-04-16,"Pizarra ATLANTA, base",Unidad,6.0,1404.3,1095.3,8425.8,10195.22,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,4,2022,21
103045,10000,20000.0,1900-S,PRINCIPAL,2022-04-22,2023-04-16,"Silla inv. PARÍS, negra",Unidad,5.0,193.7,151.1,968.5,1171.89,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,4,2022,22
103045,20000,20000.0,1964-S,PRINCIPAL,2022-04-22,2023-04-16,"Silla inv. TOKIO, azul",Unidad,6.0,193.7,151.1,1162.2,1406.26,SILLA,Venta,2022-01-01,"Silla inv. TOKIO, azul",UDS,SILLA,4.0,4,2022,22
103045,30000,20000.0,1980-S,PRINCIPAL,2022-04-22,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,4.0,191.0,148.9,764.0,924.44,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,4,2022,22
103046,10000,50000.0,1906-S,PRINCIPAL,2022-04-24,2023-04-16,Pedestal móvil ATENAS,Unidad,9.0,435.8,339.9,3922.2,4745.86,ESCRITORIO,Venta,2022-01-01,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0,4,2022,24
103047,10000,40000.0,1908-S,PRINCIPAL,2022-04-24,2023-04-16,"Silla giratoria LONDRES, azul",stück,6.0,191.0,148.9,1146.0,1146.0,SILLA,Venta,2022-01-01,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0,4,2022,24
103047,20000,40000.0,1920-S,PRINCIPAL,2022-04-24,2023-04-16,Mesa de conferencia AMBERES,stück,3.0,651.1,508.0,1953.3,1953.3,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,4,2022,24
103047,30000,40000.0,1960-S,PRINCIPAL,2022-04-24,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,4,2022,24
103047,40000,40000.0,1968-S,PRINCIPAL,2022-04-24,2023-04-16,"Silla giratoria MÉXICO, negra",stück,7.0,191.0,148.9,1337.0,1337.0,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,4,2022,24
103047,50000,40000.0,1980-S,PRINCIPAL,2022-04-24,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,191.0,191.0,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,4,2022,24
103048,10000,20000.0,1900-S,PRINCIPAL,2022-04-25,2023-04-16,"Silla inv. PARÍS, negra",Unidad,6.0,193.7,151.1,1162.2,1406.26,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,4,2022,25
103049,10000,30000.0,1896-S,PRINCIPAL,2022-04-25,2023-04-16,ATHENS Desk,Piece,8.0,1005.8,784.6,8046.4,8046.4,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,4,2022,25
103049,20000,30000.0,1928-S,PRINCIPAL,2022-04-25,2023-04-16,Lámpara giratoria roja,Piece,10.0,55.2,43.1,552.0,552.0,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,4,2022,25
103049,30000,30000.0,1996-S,PRINCIPAL,2022-04-25,2023-04-16,"ATLANTA Whiteboard, base",Piece,4.0,1404.3,1095.3,5617.2,5617.2,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,4,2022,25
103050,10000,50000.0,1920-S,PRINCIPAL,2022-04-28,2023-04-16,Mesa de conferencia AMBERES,Unidad,3.0,651.1,508.0,1953.3,2363.49,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,4,2022,28
103050,20000,50000.0,1988-S,PRINCIPAL,2022-04-28,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,4,2022,28
103051,10000,30000.0,1936-S,PRINCIPAL,2022-04-28,2023-04-16,"BERLIN Guest Chair, yellow",Piece,11.0,193.7,151.1,2130.7,2130.7,SILLA,Venta,2022-01-01,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0,4,2022,28
103051,20000,30000.0,1972-S,PRINCIPAL,2022-04-28,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,7.0,191.0,148.9,1337.0,1337.0,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,4,2022,28
103051,30000,30000.0,2000-S,PRINCIPAL,2022-04-28,2023-04-16,"SYDNEY Swivel Chair, green",Piece,8.0,191.0,148.9,1528.0,1528.0,SILLA,Venta,2022-01-01,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0,4,2022,28
103052,10000,30000.0,1960-S,PRINCIPAL,2022-05-02,2023-04-16,"ROME Guest Chair, green",Piece,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,5,2022,2
103053,10000,20000.0,1928-S,PRINCIPAL,2022-05-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,165.6,200.38,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,5,2022,18
103054,10000,10000.0,1960-S,PRINCIPAL,2022-05-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,5,2022,19
103055,10000,30000.0,1988-S,PRINCIPAL,2022-05-20,2023-04-16,"SEOUL Guest Chair, red",Piece,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,5,2022,20
103056,10000,50000.0,1968-S,PRINCIPAL,2022-05-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,382.0,462.22,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,5,2022,21
103057,10000,40000.0,1960-S,PRINCIPAL,2022-05-22,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,5,2022,22
103058,10000,20000.0,1900-S,PRINCIPAL,2022-05-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,3.0,193.7,151.1,581.1,703.13,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,5,2022,23
103058,20000,20000.0,1964-S,PRINCIPAL,2022-05-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,5.0,193.7,151.1,968.5,1171.89,SILLA,Venta,2022-01-01,"Silla inv. TOKIO, azul",UDS,SILLA,4.0,5,2022,23
103058,30000,20000.0,1980-S,PRINCIPAL,2022-05-23,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,4.0,191.0,148.9,764.0,924.44,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,5,2022,23
103059,10000,10000.0,1896-S,PRINCIPAL,2022-05-23,2023-04-16,Escritorio ATENAS,Unidad,8.0,1005.8,784.6,8046.4,9736.14,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,5,2022,23
103059,20000,10000.0,1972-S,PRINCIPAL,2022-05-23,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,3.0,191.0,148.9,573.0,693.33,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,5,2022,23
103059,30000,10000.0,1996-S,PRINCIPAL,2022-05-23,2023-04-16,"Pizarra ATLANTA, base",Unidad,5.0,1404.3,1095.3,7021.5,8496.02,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,5,2022,23
103060,10000,50000.0,1906-S,PRINCIPAL,2022-05-25,2023-04-16,Pedestal móvil ATENAS,Unidad,6.0,435.8,339.9,2614.8,3163.91,ESCRITORIO,Venta,2022-01-01,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0,5,2022,25
103061,10000,30000.0,1928-S,PRINCIPAL,2022-05-26,2023-04-16,Lámpara giratoria roja,Piece,8.0,55.2,43.1,441.6,441.6,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,5,2022,26
103062,10000,40000.0,1908-S,PRINCIPAL,2022-05-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,5.0,191.0,148.9,955.0,955.0,SILLA,Venta,2022-01-01,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0,5,2022,26
103062,20000,40000.0,1920-S,PRINCIPAL,2022-05-26,2023-04-16,Mesa de conferencia AMBERES,stück,4.0,651.1,508.0,2604.4,2604.4,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,5,2022,26
103062,30000,40000.0,1968-S,PRINCIPAL,2022-05-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,6.0,191.0,148.9,1146.0,1146.0,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,5,2022,26
103062,40000,40000.0,1980-S,PRINCIPAL,2022-05-26,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,191.0,191.0,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,5,2022,26
103063,10000,20000.0,1900-S,PRINCIPAL,2022-05-28,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,5,2022,28
103064,10000,30000.0,1896-S,PRINCIPAL,2022-05-29,2023-04-16,ATHENS Desk,Piece,6.0,1005.8,784.6,6034.8,6034.8,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,5,2022,29
103064,20000,30000.0,1936-S,PRINCIPAL,2022-05-29,2023-04-16,"BERLIN Guest Chair, yellow",Piece,9.0,193.7,151.1,1743.3,1743.3,SILLA,Venta,2022-01-01,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0,5,2022,29
103064,30000,30000.0,1972-S,PRINCIPAL,2022-05-29,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,6.0,191.0,148.9,1146.0,1146.0,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,5,2022,29
103064,40000,30000.0,1996-S,PRINCIPAL,2022-05-29,2023-04-16,"ATLANTA Whiteboard, base",Piece,4.0,1404.3,1095.3,5617.2,5617.2,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,5,2022,29
103065,10000,50000.0,1920-S,PRINCIPAL,2022-05-31,2023-04-16,Mesa de conferencia AMBERES,Unidad,3.0,651.1,508.0,1953.3,2363.49,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,5,2022,31
103065,20000,50000.0,1988-S,PRINCIPAL,2022-05-31,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,5,2022,31
103066,10000,30000.0,1960-S,PRINCIPAL,2022-06-01,2023-04-16,"ROME Guest Chair, green",Piece,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,6,2022,1
103066,20000,30000.0,2000-S,PRINCIPAL,2022-06-01,2023-04-16,"SYDNEY Swivel Chair, green",Piece,7.0,191.0,148.9,1337.0,1337.0,SILLA,Venta,2022-01-01,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0,6,2022,1
103067,10000,20000.0,1928-S,PRINCIPAL,2022-06-17,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,165.6,200.38,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,6,2022,17
103068,10000,30000.0,1988-S,PRINCIPAL,2022-06-19,2023-04-16,"SEOUL Guest Chair, red",Piece,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,6,2022,19
103069,10000,50000.0,1968-S,PRINCIPAL,2022-06-20,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,382.0,462.22,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,6,2022,20
103070,10000,10000.0,1896-S,PRINCIPAL,2022-06-21,2023-04-16,Escritorio ATENAS,Unidad,8.0,1005.8,784.6,8046.4,9736.15,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,6,2022,21
103070,20000,10000.0,1960-S,PRINCIPAL,2022-06-21,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,774.8,937.5,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,6,2022,21
103070,30000,10000.0,1972-S,PRINCIPAL,2022-06-21,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,3.0,191.0,148.9,573.0,693.33,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,6,2022,21
103070,40000,10000.0,1996-S,PRINCIPAL,2022-06-21,2023-04-16,"Pizarra ATLANTA, base",Unidad,5.0,1404.3,1095.3,7021.5,8496.02,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,6,2022,21
103071,10000,20000.0,1900-S,PRINCIPAL,2022-06-22,2023-04-16,"Silla inv. PARÍS, negra",Unidad,3.0,193.7,151.1,581.1,703.13,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,6,2022,22
103071,20000,20000.0,1964-S,PRINCIPAL,2022-06-22,2023-04-16,"Silla inv. TOKIO, azul",Unidad,5.0,193.7,151.1,968.5,1171.89,SILLA,Venta,2022-01-01,"Silla inv. TOKIO, azul",UDS,SILLA,4.0,6,2022,22
103071,30000,20000.0,1980-S,PRINCIPAL,2022-06-22,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,4.0,191.0,148.9,764.0,924.44,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,6,2022,22
103072,10000,50000.0,1906-S,PRINCIPAL,2022-06-24,2023-04-16,Pedestal móvil ATENAS,Unidad,5.0,435.8,339.9,2179.0,2636.59,ESCRITORIO,Venta,2022-01-01,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0,6,2022,24
103073,10000,40000.0,1908-S,PRINCIPAL,2022-06-24,2023-04-16,"Silla giratoria LONDRES, azul",stück,5.0,191.0,148.9,955.0,955.0,SILLA,Venta,2022-01-01,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0,6,2022,24
103073,20000,40000.0,1920-S,PRINCIPAL,2022-06-24,2023-04-16,Mesa de conferencia AMBERES,stück,3.0,651.1,508.0,1953.3,1953.3,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,6,2022,24
103073,30000,40000.0,1960-S,PRINCIPAL,2022-06-24,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,6,2022,24
103073,40000,40000.0,1968-S,PRINCIPAL,2022-06-24,2023-04-16,"Silla giratoria MÉXICO, negra",stück,6.0,191.0,148.9,1146.0,1146.0,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,6,2022,24
103073,50000,40000.0,1980-S,PRINCIPAL,2022-06-24,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,191.0,191.0,SILLA,Venta,2022-01-01,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0,6,2022,24
103074,10000,20000.0,1900-S,PRINCIPAL,2022-06-25,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. PARÍS, negra",UDS,SILLA,0.0,6,2022,25
103075,10000,30000.0,1896-S,PRINCIPAL,2022-06-25,2023-04-16,ATHENS Desk,Piece,7.0,1005.8,784.6,7040.6,7040.6,MESA,Venta,2022-01-01,Escritorio ATENAS,UDS,MESA,4.0,6,2022,25
103075,20000,30000.0,1928-S,PRINCIPAL,2022-06-25,2023-04-16,Lámpara giratoria roja,Piece,10.0,55.2,43.1,552.0,552.0,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,6,2022,25
103075,30000,30000.0,1996-S,PRINCIPAL,2022-06-25,2023-04-16,"ATLANTA Whiteboard, base",Piece,4.0,1404.3,1095.3,5617.2,5617.2,VARIOS,Venta,2022-01-01,"Pizarra ATLANTA, base",UDS,VARIOS,10.0,6,2022,25
103076,10000,50000.0,1920-S,PRINCIPAL,2022-06-28,2023-04-16,Mesa de conferencia AMBERES,Unidad,2.0,651.1,508.0,1302.2,1575.66,ESCRITORIO,Venta,2022-01-01,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0,6,2022,28
103076,20000,50000.0,1988-S,PRINCIPAL,2022-06-28,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,6,2022,28
103077,10000,30000.0,1936-S,PRINCIPAL,2022-06-28,2023-04-16,"BERLIN Guest Chair, yellow",Piece,10.0,193.7,151.1,1937.0,1937.0,SILLA,Venta,2022-01-01,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0,6,2022,28
103077,20000,30000.0,1972-S,PRINCIPAL,2022-06-28,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,7.0,191.0,148.9,1337.0,1337.0,SILLA,Venta,2022-01-01,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0,6,2022,28
103077,30000,30000.0,2000-S,PRINCIPAL,2022-06-28,2023-04-16,"SYDNEY Swivel Chair, green",Piece,7.0,191.0,148.9,1337.0,1337.0,SILLA,Venta,2022-01-01,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0,6,2022,28
103078,10000,30000.0,1960-S,PRINCIPAL,2022-07-02,2023-04-16,"ROME Guest Chair, green",Piece,2.0,193.7,151.1,387.4,387.4,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,7,2022,2
103079,10000,20000.0,1928-S,PRINCIPAL,2022-07-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,165.6,200.38,VARIOS,Venta,2022-01-01,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0,7,2022,18
103080,10000,10000.0,1960-S,PRINCIPAL,2022-07-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,774.8,937.51,SILLA,Venta,2022-01-01,"Silla inv. ROMA, verde",UDS,SILLA,2.0,7,2022,19
103081,10000,30000.0,1988-S,PRINCIPAL,2022-07-20,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,193.7,193.7,SILLA,Venta,2022-01-01,"Silla inv. SEUL, roja",UDS,SILLA,0.0,7,2022,20
103082,10000,50000.0,1968-S,PRINCIPAL,2022-07-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,382.0,462.22,SILLA,Venta,2022-01-01,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0,7,2022,21
